filename,dissonance_score,hp_interference,hp_harmonicity,hp_consonance,timbre,type,interval_or_chord,root
piano_interval_octave_E3.wav,0.005988,0.005179,0.667332,1.112153,piano,interval,octave,E3
piano_interval_unison_G3.wav,0.003017,0.005189,0.345161,0.814972,piano,interval,unison,G3
piano_interval_minor_second_G3.wav,0.19314,0.121643,0.345161,0.348518,piano,interval,minor_second,G3
piano_interval_major_second_G3.wav,0.208174,0.095142,0.503815,0.658673,piano,interval,major_second,G3
piano_interval_minor_third_G3.wav,0.17154,0.064203,0.501942,0.787739,piano,interval,minor_third,G3
piano_interval_major_third_G3.wav,0.128063,0.047686,0.50379,0.831104,piano,interval,major_third,G3
piano_interval_perfect_fourth_G3.wav,0.089927,0.034068,0.509864,0.875795,piano,interval,perfect_fourth,G3
piano_interval_tritone_G3.wav,0.071655,0.043601,0.672581,0.77898,piano,interval,tritone,G3
piano_interval_perfect_fifth_G3.wav,0.043327,0.018633,0.530091,0.936459,piano,interval,perfect_fifth,G3
piano_interval_minor_sixth_G3.wav,0.053208,0.042399,0.510791,0.743392,piano,interval,minor_sixth,G3
piano_interval_major_sixth_G3.wav,0.053678,0.035809,0.50545,0.794642,piano,interval,major_sixth,G3
piano_interval_minor_seventh_G3.wav,0.06776,0.04922,0.500002,0.675782,piano,interval,minor_seventh,G3
piano_interval_major_seventh_G3.wav,0.077991,0.063851,0.500003,0.611152,piano,interval,major_seventh,G3
piano_interval_octave_G3.wav,0.002958,0.003871,0.667332,1.113461,piano,interval,octave,G3
piano_interval_unison_C4.wav,0.000958,0.003124,0.345161,0.817036,piano,interval,unison,C4
piano_interval_minor_second_C4.wav,0.204482,0.118279,0.345161,0.351882,piano,interval,minor_second,C4
piano_interval_major_second_C4.wav,0.190318,0.083617,0.503815,0.670198,piano,interval,major_second,C4
piano_interval_minor_third_C4.wav,0.135228,0.053063,0.501942,0.798879,piano,interval,minor_third,C4
piano_interval_major_third_C4.wav,0.087684,0.038986,0.50379,0.839804,piano,interval,major_third,C4
piano_interval_perfect_fourth_C4.wav,0.053487,0.026532,0.509864,0.883332,piano,interval,perfect_fourth,C4
piano_interval_tritone_C4.wav,0.042692,0.037744,0.672581,0.784836,piano,interval,tritone,C4
piano_interval_perfect_fifth_C4.wav,0.020617,0.013908,0.530091,0.941183,piano,interval,perfect_fifth,C4
piano_interval_minor_sixth_C4.wav,0.033379,0.037079,0.510791,0.748712,piano,interval,minor_sixth,C4
piano_interval_major_sixth_C4.wav,0.034926,0.02913,0.50545,0.80132,piano,interval,major_sixth,C4
piano_interval_minor_seventh_C4.wav,0.052763,0.041707,0.500002,0.683295,piano,interval,minor_seventh,C4
piano_interval_major_seventh_C4.wav,0.074442,0.060293,0.500003,0.61471,piano,interval,major_seventh,C4
piano_interval_octave_C4.wav,0.000951,0.002298,0.667332,1.115034,piano,interval,octave,C4
piano_interval_unison_E4.wav,0.000432,0.002009,0.345161,0.818152,piano,interval,unison,E4
piano_interval_minor_second_E4.wav,0.209912,0.115228,0.345161,0.354933,piano,interval,minor_second,E4
piano_interval_major_second_E4.wav,0.170827,0.074527,0.503815,0.679288,piano,interval,major_second,E4
piano_interval_minor_third_E4.wav,0.106268,0.045076,0.501942,0.806866,piano,interval,minor_third,E4
piano_interval_major_third_E4.wav,0.061185,0.033175,0.50379,0.845615,piano,interval,major_third,E4
piano_interval_perfect_fourth_E4.wav,0.033281,0.021594,0.509864,0.888269,piano,interval,perfect_fourth,E4
piano_interval_tritone_E4.wav,0.028769,0.033811,0.672581,0.78877,piano,interval,tritone,E4
piano_interval_perfect_fifth_E4.wav,0.011109,0.011065,0.530091,0.944026,piano,interval,perfect_fifth,E4
piano_interval_minor_sixth_E4.wav,0.024333,0.033444,0.510791,0.752347,piano,interval,minor_sixth,E4
piano_interval_major_sixth_E4.wav,0.024922,0.024581,0.50545,0.80587,piano,interval,major_sixth,E4
piano_interval_minor_seventh_E4.wav,0.042927,0.036082,0.500002,0.68892,piano,interval,minor_seventh,E4
piano_interval_major_seventh_E4.wav,0.071484,0.057409,0.500003,0.617593,piano,interval,major_seventh,E4
piano_interval_octave_E4.wav,0.000435,0.001462,0.667332,1.11587,piano,interval,octave,E4
piano_interval_unison_G4.wav,0.000261,0.001409,0.345161,0.818752,piano,interval,unison,G4
piano_interval_minor_second_G4.wav,0.21116,0.11265,0.345161,0.357511,piano,interval,minor_second,G4
piano_interval_major_second_G4.wav,0.154019,0.067833,0.503815,0.685982,piano,interval,major_second,G4
piano_interval_minor_third_G4.wav,0.086107,0.039644,0.501942,0.812298,piano,interval,minor_third,G4
piano_interval_major_third_G4.wav,0.045409,0.029434,0.50379,0.849356,piano,interval,major_third,G4
piano_interval_perfect_fourth_G4.wav,0.022793,0.018451,0.509864,0.891413,piano,interval,perfect_fourth,G4
piano_interval_tritone_G4.wav,0.022255,0.031193,0.672581,0.791388,piano,interval,tritone,G4
piano_interval_perfect_fifth_G4.wav,0.007207,0.009383,0.530091,0.945709,piano,interval,perfect_fifth,G4
piano_interval_minor_sixth_G4.wav,0.020039,0.030998,0.510791,0.754793,piano,interval,minor_sixth,G4
piano_interval_major_sixth_G4.wav,0.019452,0.021611,0.50545,0.80884,piano,interval,major_sixth,G4
piano_interval_minor_seventh_G4.wav,0.036483,0.032099,0.500002,0.692903,piano,interval,minor_seventh,G4
piano_interval_major_seventh_G4.wav,0.068831,0.055172,0.500003,0.61983,piano,interval,major_seventh,G4
piano_interval_octave_G4.wav,0.000266,0.001018,0.667332,1.116314,piano,interval,octave,G4
sine_chord_major_triad_C3.wav,0.382316,0.337325,0.333338,0.471014,sine,chord,major_triad,C3
sine_chord_minor_triad_C3.wav,0.377101,0.343697,0.333338,0.439641,sine,chord,minor_triad,C3
sine_chord_diminished_triad_C3.wav,0.435797,0.443881,0.666667,0.497786,sine,chord,diminished_triad,C3
sine_chord_augmented_triad_C3.wav,0.326644,0.246502,0.666667,0.620165,sine,chord,augmented_triad,C3
sine_chord_major_7th_C3.wav,0.542147,0.222487,0.500004,0.602517,sine,chord,major_7th,C3
sine_chord_minor_7th_C3.wav,0.59093,0.266302,0.500004,0.608701,sine,chord,minor_7th,C3
sine_chord_dominant_7th_C3.wav,0.6134,0.269809,0.500004,0.630195,sine,chord,dominant_7th,C3
sine_chord_diminished_7th_C3.wav,0.689308,0.328396,0.75,0.646604,sine,chord,diminished_7th,C3
sine_chord_major_triad_E3.wav,0.314753,0.287327,0.333338,0.521011,sine,chord,major_triad,E3
sine_chord_minor_triad_E3.wav,0.313529,0.295134,0.333338,0.488204,sine,chord,minor_triad,E3
sine_chord_diminished_triad_E3.wav,0.377691,0.388557,0.666667,0.55311,sine,chord,diminished_triad,E3
sine_chord_augmented_triad_E3.wav,0.256055,0.202338,0.666667,0.664329,sine,chord,augmented_triad,E3
sine_chord_major_7th_E3.wav,0.422772,0.185796,0.500004,0.639208,sine,chord,major_7th,E3
sine_chord_minor_7th_E3.wav,0.474878,0.227694,0.500004,0.64731,sine,chord,minor_7th,E3
sine_chord_dominant_7th_E3.wav,0.489448,0.228855,0.500004,0.671149,sine,chord,dominant_7th,E3
sine_chord_diminished_7th_E3.wav,0.569984,0.284015,0.75,0.690985,sine,chord,diminished_7th,E3
sine_chord_major_triad_G3.wav,0.262908,0.251978,0.333338,0.55636,sine,chord,major_triad,G3
sine_chord_minor_triad_G3.wav,0.265043,0.260704,0.333338,0.522634,sine,chord,minor_triad,G3
sine_chord_diminished_triad_G3.wav,0.32893,0.348214,0.666667,0.593452,sine,chord,diminished_triad,G3
sine_chord_augmented_triad_G3.wav,0.205417,0.172134,0.666667,0.694533,sine,chord,augmented_triad,G3
sine_chord_major_7th_G3.wav,0.340758,0.160562,0.500004,0.664441,sine,chord,major_7th,G3
sine_chord_minor_7th_G3.wav,0.3934,0.200534,0.500004,0.67447,sine,chord,minor_7th,G3
sine_chord_dominant_7th_G3.wav,0.401363,0.200175,0.500004,0.699829,sine,chord,dominant_7th,G3
sine_chord_diminished_7th_G3.wav,0.481503,0.252342,0.75,0.722658,sine,chord,diminished_7th,G3
sine_chord_major_triad_C4.wav,0.182581,0.19791,0.333338,0.610428,sine,chord,major_triad,C4
sine_chord_minor_triad_C4.wav,0.189704,0.207778,0.333338,0.575561,sine,chord,minor_triad,C4
sine_chord_diminished_triad_C4.wav,0.246398,0.284245,0.666667,0.657421,sine,chord,diminished_triad,C4
sine_chord_augmented_triad_C4.wav,0.132197,0.127798,0.666667,0.738869,sine,chord,augmented_triad,C4
sine_chord_major_7th_C4.wav,0.225084,0.123099,0.500004,0.701904,sine,chord,major_7th,C4
sine_chord_minor_7th_C4.wav,0.274629,0.15905,0.500004,0.715953,sine,chord,minor_7th,C4
sine_chord_dominant_7th_C4.wav,0.272925,0.156683,0.500004,0.74332,sine,chord,dominant_7th,C4
sine_chord_diminished_7th_C4.wav,0.346116,0.203185,0.75,0.771815,sine,chord,diminished_7th,C4
sine_chord_major_triad_E4.wav,0.128984,0.159539,0.333338,0.648799,sine,chord,major_triad,E4
sine_chord_minor_triad_E4.wav,0.138534,0.169907,0.333338,0.613431,sine,chord,minor_triad,E4
sine_chord_diminished_triad_E4.wav,0.185832,0.236875,0.666667,0.704792,sine,chord,diminished_triad,E4
sine_chord_augmented_triad_E4.wav,0.087,0.097927,0.666667,0.768739,sine,chord,augmented_triad,E4
sine_chord_major_7th_E4.wav,0.153958,0.097363,0.500004,0.727641,sine,chord,major_7th,E4
sine_chord_minor_7th_E4.wav,0.197822,0.129525,0.500004,0.745479,sine,chord,minor_7th,E4
sine_chord_dominant_7th_E4.wav,0.191162,0.126049,0.500004,0.773955,sine,chord,dominant_7th,E4
sine_chord_diminished_7th_E4.wav,0.254613,0.167559,0.75,0.807441,sine,chord,diminished_7th,E4
sine_chord_major_triad_G4.wav,0.096489,0.133816,0.333338,0.674523,sine,chord,major_triad,G4
sine_chord_minor_triad_G4.wav,0.106684,0.144299,0.333338,0.63904,sine,chord,minor_triad,G4
sine_chord_diminished_triad_G4.wav,0.146271,0.203996,0.666667,0.737671,sine,chord,diminished_triad,G4
sine_chord_augmented_triad_G4.wav,0.061293,0.078783,0.666667,0.787884,sine,chord,augmented_triad,G4
sine_chord_major_7th_G4.wav,0.112874,0.080524,0.500004,0.74448,sine,chord,major_7th,G4
sine_chord_minor_7th_G4.wav,0.151236,0.109624,0.500004,0.76538,sine,chord,minor_7th,G4
sine_chord_dominant_7th_G4.wav,0.142728,0.105601,0.500004,0.794403,sine,chord,dominant_7th,G4
sine_chord_diminished_7th_G4.wav,0.197523,0.143198,0.75,0.831802,sine,chord,diminished_7th,G4
sawtooth_chord_major_triad_C3.wav,0.605087,0.064445,0.532074,0.942629,sawtooth,chord,major_triad,C3
sawtooth_chord_minor_triad_C3.wav,0.606345,0.065812,0.532074,0.916262,sawtooth,chord,minor_triad,C3
sawtooth_chord_diminished_triad_C3.wav,0.701922,0.083494,0.685173,0.87668,sawtooth,chord,diminished_triad,C3
sawtooth_chord_augmented_triad_C3.wav,0.593262,0.070445,0.825127,0.954683,sawtooth,chord,augmented_triad,C3
